pattern,image_id,file_name,score,note,ir_tp,ir_fp,ir_fn,fusion_tp,fusion_fp,fusion_fn,num_gt
fp_reduction,210216,210216.jpg,7.0,Fusion reduced FP count from 2 to 1.,6,2,2,6,1,2,8
fp_reduction,220174,220174.jpg,7.0,Fusion reduced FP count from 1 to 0.,6,1,1,6,0,1,7
fp_reduction,220372,220372.jpg,7.0,Fusion reduced FP count from 1 to 0.,6,1,0,6,0,0,6
fp_reduction,190063,190063.jpg,6.5,Fusion reduced FP count from 1 to 0.,5,1,0,5,0,0,5
fp_reduction,190287,190287.jpg,6.5,Fusion reduced FP count from 2 to 1.,5,2,1,5,1,1,6
fp_reduction,190387,190387.jpg,6.5,Fusion reduced FP count from 1 to 0.,5,1,0,5,0,0,5
fp_reduction,190504,190504.jpg,6.5,Fusion reduced FP count from 1 to 0.,5,1,0,5,0,0,5
fp_reduction,210123,210123.jpg,6.5,Fusion reduced FP count from 1 to 0.,4,1,1,5,0,0,5
fp_reduction,210259,210259.jpg,6.5,Fusion reduced FP count from 1 to 0.,5,1,1,5,0,1,6
fp_reduction,210376,210376.jpg,6.5,Fusion reduced FP count from 2 to 1.,5,2,0,5,1,0,5
fp_reduction,210402,210402.jpg,6.5,Fusion reduced FP count from 1 to 0.,4,1,1,5,0,0,5
fp_reduction,220176,220176.jpg,6.5,Fusion reduced FP count from 2 to 1.,5,2,0,5,1,0,5
fp_reduction,230354,230354.jpg,6.5,Fusion reduced FP count from 1 to 0.,4,1,1,5,0,0,5
fp_reduction,240093,240093.jpg,6.5,Fusion reduced FP count from 1 to 0.,5,1,0,5,0,0,5
fp_reduction,260160,260160.jpg,6.5,Fusion reduced FP count from 3 to 2.,5,3,0,5,2,0,5
fp_reduction,190605,190605.jpg,6.0,Fusion reduced FP count from 1 to 0.,5,1,1,4,0,2,6
fp_reduction,190751,190751.jpg,6.0,Fusion reduced FP count from 1 to 0.,4,1,0,4,0,0,4
fp_reduction,210008,210008.jpg,6.0,Fusion reduced FP count from 1 to 0.,4,1,0,4,0,0,4
fp_reduction,210089,210089.jpg,6.0,Fusion reduced FP count from 1 to 0.,4,1,1,4,0,1,5
fp_reduction,210283,210283.jpg,6.0,Fusion reduced FP count from 1 to 0.,4,1,0,4,0,0,4
fp_reduction,210310,210310.jpg,6.0,Fusion reduced FP count from 2 to 1.,4,2,0,4,1,0,4
fp_reduction,210385,210385.jpg,6.0,Fusion reduced FP count from 3 to 2.,4,3,0,4,2,0,4
